  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Forma organização e Ano processamento
Período:Dez/2020
"070201 OPM em neurocirurgia";1005;1005
"070203 OPM em ortopedia";16471;16471
"070204 OPM em assistência cardiovascular";16626;16626
"070205 OPM comuns";17915;17915
"070206 OPM em urologia";1346;1346
"070207 OPM em cirurgias oftálmicas";14;14
"070208 OPM em cirurgia plástica/reparadora";195;195
"070209 OPM em cirurgia de otorrinolaringologia";53;53
"070212 OPM para transplantes";344;344
"080101 Incentivos";8311;8311
"080201 Diárias";498709;498709
"Total";8209617;8209617
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
